觀測時間,測站氣壓,海平面氣壓,氣溫,露點溫度,相對溼度,風速,風向,最大陣風,最大陣風風向,降水量,降水時數,日照時數,全天空日射量,能見度,紫外線指數,總雲量
2011-06-24-23,993.9,994.6,26,23.7,87,0.3,360,7.4,350,3,1,N/A,0,8,0,10
2011-06-24-24,993.4,994.1,26.2,24,88,1.9,310,7.5,340,T,0.8,N/A,0,10,0,9
2011-06-25-01,992.7,993.4,25.5,23.1,87,2.8,310,10.3,290,0.5,0.9,N/A,0,8,0,10
2011-06-25-02,992,992.7,25.7,23.2,86,4.6,300,11.5,310,3,1,N/A,0,5,0,10
2011-06-25-03,991.8,992.5,24.5,22.2,87,5.4,310,15.4,310,16.5,1,N/A,0,2.5,0,10
2011-06-25-04,992,992.7,24.6,22.7,89,3.3,320,14,320,17,1,N/A,0,2,0,10
2011-06-25-05,992,992.7,25.6,23.6,89,4.1,290,13.4,310,5.5,1,N/A,0,3,0,10
2011-06-25-06,993,993.7,24.5,22.7,90,4.3,310,11.9,290,10.5,1,0,0,3,0,10
2011-06-25-07,993.7,994.4,24.9,22.8,88,3.7,300,12.8,300,14,1,0,0,2,0,10
2011-06-25-08,994.4,995.1,24.8,22.7,88,4,300,14.1,310,14.5,1,0,0,3,0,10
2011-06-25-09,994.9,995.6,25.4,23,87,4.8,300,15,320,11,1,0,0,3,0,10
2011-06-25-10,995.3,996,25.2,23.2,89,2.8,290,9.2,260,7.5,1,0,0,4,0,10
2011-06-25-11,995.2,995.9,25.1,23,88,2.7,260,7.5,300,3,1,0,0.18,6,1,10
2011-06-25-12,994.4,995.1,26.1,25.2,95,2.9,250,9.1,250,1.5,0.8,0,0.76,10,3,10
2011-06-25-13,994,994.7,26.3,22.9,82,3.3,270,12.4,260,0.5,0.6,0,0.34,8,2,10
2011-06-25-14,994,994.7,29.6,25.7,80,4.4,270,8.8,240,T,0.7,0,0.57,12,2,9
2011-06-25-15,994,994.7,30.7,25.5,74,3.5,270,11.4,280,0,0,0,0.69,N/A,3,9
2011-06-25-16,993.5,994.2,31.9,25.7,70,4.1,270,10.7,260,0,0,0.4,1.38,N/A,3,9
2011-06-25-17,993.4,994.1,31.7,23.7,63,3.1,260,10.8,260,0,0,0.8,1.28,22,2,6
2011-06-25-18,994.2,994.9,30.7,24.2,68,1.4,200,5.1,290,0,0,0.1,0.41,N/A,0,N/A
2011-06-25-19,995.1,995.8,29.6,24.3,73,1.4,170,2.6,190,0,0,0.1,0.01,N/A,0,N/A
2011-06-25-20,996.5,997.2,29.9,24.1,71,1.1,180,3.2,280,0,0,N/A,0,20,0,9
2011-06-25-21,996.9,997.6,31.7,23.1,60,6.1,290,13.2,300,0,0,N/A,0,18,0,9
2011-06-25-22,999,999.7,30.7,22.8,63,4.8,300,13.1,280,T,0.1,N/A,0,N/A,0,N/A
2011-06-25-23,999.7,1000.4,27.4,21.1,69,3.8,270,18.3,270,1.2,1,N/A,0,12,0,10
2011-06-25-24,998.5,999.2,25.7,23.3,87,0.9,230,4.5,270,0.2,0.7,N/A,0,N/A,0,N/A
2011-06-26-01,998.7,999.4,26,23.8,88,0.4,360,4.2,210,0,0,N/A,0,N/A,0,N/A
2011-06-26-02,998.6,999.3,26.3,24.2,88,1.1,220,2,170,0,0,N/A,0,20,0,9
2011-06-26-03,998.8,999.5,26.8,23.7,83,0.8,210,3.6,250,0,0,N/A,0,N/A,0,N/A
2011-06-26-04,999.1,999.8,26.8,23.5,82,1.5,180,7.8,210,0,0,N/A,0,N/A,0,N/A
2011-06-26-05,999.5,1000.2,26.5,23,81,0.9,160,5,300,0,0,N/A,0,18,0,10
2011-06-26-06,1000.7,1001.4,26.4,23.3,83,0.5,190,2.6,110,0,0,0,0,N/A,0,N/A
2011-06-26-07,1001.4,1002.1,27,23.9,83,0.8,180,3.3,180,0,0,0,0.17,N/A,0,N/A
2011-06-26-08,1001.8,1002.5,27.6,24.1,81,1.4,160,3.8,180,0,0,0,0.23,20,1,9
2011-06-26-09,1002.2,1002.9,30.2,26.5,81,2.1,140,4.3,180,0,0,0.3,1.29,20,3,8
2011-06-26-10,1002.2,1002.9,32.3,26.4,71,2,40,5.5,40,0,0,0.8,2.47,N/A,6,8
2011-06-26-11,1002.2,1002.9,31.9,25.5,69,2.4,40,6.9,40,0,0,0.1,1.32,20,5,8
2011-06-26-12,1001.6,1002.3,33.9,26.2,64,1.2,50,6.6,40,0,0,0.5,2.23,N/A,8,7
2011-06-26-13,1001,1001.7,32.8,25.6,66,0.3,90,4.9,80,0,0,0.4,1.9,N/A,7,9
2011-06-26-14,1001,1001.7,32.4,25.5,67,2.7,60,6.6,50,0,0,0,0.94,12,3,9
2011-06-26-15,1000.8,1001.5,30.6,23.9,68,4.3,80,11.6,80,0,0,0.2,0.79,N/A,2,9
2011-06-26-16,1001.9,1002.6,25.5,22.7,85,2.9,10,9.2,40,28.5,0.9,0,0,N/A,0,10
2011-06-26-17,1002.4,1003.1,26.4,24.1,87,1.3,270,4.4,10,3,1,0,0,7,0,10
2011-06-26-18,1002.5,1003.2,26.5,24.7,90,0.1,0,3.3,290,6,1,0,0,N/A,0,N/A
2011-06-26-19,1003.4,1004.1,26.8,25.1,90,0,0,3.3,350,1,1,0,0,N/A,0,N/A
2011-06-26-20,1004.2,1004.9,26.9,25.5,92,1.1,250,2.7,300,0.5,0.8,N/A,0,8,0,10
2011-06-26-21,1004.6,1005.3,26.3,25,93,0.6,200,3.7,280,0.5,0.7,N/A,0,10,0,10
2011-06-26-22,1004.8,1005.5,26.5,25.3,93,0.3,190,2.3,190,T,0.3,N/A,0,N/A,0,N/A
2011-06-26-23,1005.1,1005.8,26.5,25.1,92,0.3,220,2.2,180,T,0.5,N/A,0,10,0,10
2011-06-26-24,1004.4,1005.1,26.4,25.1,93,1,210,1.8,200,0,0,N/A,0,N/A,0,N/A
2011-06-27-01,1003.9,1004.6,25.9,24.5,92,0.1,0,3.2,190,0,0,N/A,0,N/A,0,N/A
2011-06-27-02,1003.8,1004.5,25.8,24.1,90,1.1,170,3.4,180,0,0,N/A,0,15,0,6
2011-06-27-03,1003.6,1004.3,25.8,24,90,1.5,150,3.4,190,0,0,N/A,0,N/A,0,N/A
2011-06-27-04,1004,1004.7,25.7,24.2,91,1.4,170,2.7,180,0,0,N/A,0,N/A,0,N/A
2011-06-27-05,1004,1004.7,25.6,24.2,92,0.8,190,2.5,160,0,0,N/A,0,15,0,7
2011-06-27-06,1004.1,1004.8,26.3,24.9,92,0,0,2.5,110,0,0,0,0,N/A,0,N/A
2011-06-27-07,1004.5,1005.2,27.6,27,97,0,0,2.7,180,0,0,0.5,0.84,N/A,0,N/A
2011-06-27-08,1004.7,1005.4,30.3,28.3,89,0.6,50,2.7,20,0,0,0.7,1.28,15,2,6
2011-06-27-09,1004.4,1005.1,31.4,27.2,78,2.4,80,6.1,90,0,0,1,1.98,15,4,7
2011-06-27-10,1004.6,1005.3,31.7,26.5,74,4.2,70,8.9,90,0,0,0.9,2.03,N/A,6,8
2011-06-27-11,1004.5,1005.2,31.2,25.2,71,4.5,70,9.6,90,0,0,0.4,1.72,13,6,9
2011-06-27-12,1003.5,1004.2,33.3,26.4,67,3.2,70,10.9,90,0,0,1,2.78,N/A,10,8
2011-06-27-13,1002.8,1003.5,33.6,25.1,61,3.5,90,9.1,110,0,0,1,2.32,N/A,9,8
2011-06-27-14,1002.4,1003.1,32.8,25.3,65,3.7,100,8.5,120,0,0,0.6,2.05,18,7,8
2011-06-27-15,1002.3,1003,31.5,24.3,66,3.1,120,7.4,110,0,0,0.3,1.14,N/A,3,8
2011-06-27-16,1002.9,1003.6,31,24.7,69,2.4,130,6.6,170,0,0,0.2,0.72,N/A,2,8
2011-06-27-17,1003,1003.7,29.8,24.6,74,2.5,230,5.6,250,0,0,0,0.17,18,1,8
2011-06-27-18,1003.3,1004,30.1,24.9,74,2.2,190,4.7,180,0,0,0.5,0.6,N/A,0,N/A
2011-06-27-19,1004.1,1004.8,29.7,24.6,74,2.7,230,5,240,0,0,0,0.01,N/A,0,N/A
2011-06-27-20,1004.9,1005.6,29.3,24.5,75,2.7,260,6,230,0,0,N/A,0,12,0,10
2011-06-27-21,1004.8,1005.5,28.8,24.3,77,0.2,0,4.8,230,0,0,N/A,0,12,0,7
2011-06-27-22,1005.3,1006,29.1,23.3,71,0.2,0,2.5,170,0,0,N/A,0,N/A,0,N/A
2011-06-27-23,1005.4,1006.1,28.9,23.2,71,0.5,200,2.5,270,0,0,N/A,0,15,0,8
2011-06-27-24,1005.5,1006.2,28.4,23.6,75,1.4,230,3.6,180,0,0,N/A,0,N/A,0,N/A
2011-06-28-01,1005.3,1006,28.2,23.1,74,1.2,210,2.7,200,0,0,N/A,0,N/A,0,N/A
2011-06-28-02,1004.9,1005.6,28.1,23,74,0.8,160,3.4,170,0,0,N/A,0,15,0,10
2011-06-28-03,1004.6,1005.3,27.9,22.7,73,0.1,0,2.2,220,0,0,N/A,0,N/A,0,N/A
2011-06-28-04,1004.7,1005.4,27.9,22.6,73,1.3,150,2.4,170,0,0,N/A,0,N/A,0,N/A
2011-06-28-05,1004.7,1005.4,27.4,22.3,74,1.6,150,4.1,110,0,0,N/A,0,18,0,10
2011-06-28-06,1005,1005.7,27.6,22.6,74,2,90,3.7,170,0,0,0,0,N/A,0,N/A
2011-06-28-07,1005.4,1006.1,27.7,23.3,77,0.1,0,4.4,100,0,0,0,0.14,N/A,0,N/A
2011-06-28-08,1005.5,1006.2,28.9,23.8,74,1.6,180,2.9,160,0,0,0,0.69,30,1,9
2011-06-28-09,1005.4,1006.1,30.1,24.5,72,0.3,150,3.4,130,0,0,0.2,1.49,30,3,9
2011-06-28-10,1005.4,1006.1,31.3,24.4,67,1.2,60,3.8,70,0,0,0,1.48,N/A,4,9
2011-06-28-11,1005.2,1005.9,30.4,23.7,67,0.3,V,4.7,360,0,0,0,0.95,20,3,9
2011-06-28-12,1004.9,1005.6,29.2,23.8,73,0.5,V,5,310,T,0.3,0,0.01,N/A,1,9
2011-06-28-13,1004.3,1005,29.7,24.2,72,1.3,330,9.5,350,T,0.3,0,0.74,N/A,3,9
2011-06-28-14,1004.6,1005.3,28.9,23.9,74,1.7,310,8.6,320,T,0.3,0,0.47,15,2,10
2011-06-28-15,1005.9,1006.6,25.6,22.3,82,4.1,220,10.3,330,6,1,0,0.21,N/A,1,10
2011-06-28-16,1006.2,1006.9,24.9,22.8,88,1.4,40,7.4,220,34.5,1,0,0,N/A,0,10
2011-06-28-17,1006.2,1006.9,25.3,23.4,89,1.1,60,2.7,50,8.5,1,0,0,4,0,10
2011-06-28-18,1006.1,1006.8,25.1,23.4,90,0.8,110,2.5,40,1,1,0,0,N/A,0,N/A
2011-06-28-19,1006.8,1007.5,25.6,23.6,89,0.5,230,1.8,90,0.5,1,0,0,N/A,0,N/A
2011-06-28-20,1007.7,1008.4,25.7,24.3,92,0,0,1.5,250,T,0.7,N/A,0,12,0,9
2011-06-28-21,1007.8,1008.5,25.6,24.1,91,2.8,130,5.4,110,0,0,N/A,0,15,0,5
2011-06-28-22,1008.3,1009,25.7,24,90,0.9,160,5.7,110,0,0,N/A,0,N/A,0,N/A
2011-06-28-23,1008.4,1009.1,25.4,23.8,91,0.1,0,2.6,150,0,0,N/A,0,15,0,8
2011-06-28-24,1008.2,1008.9,25.5,23.7,90,1.4,130,3.3,120,0,0,N/A,0,N/A,0,N/A
2011-06-29-01,1008.1,1008.8,25.1,23.5,91,0.1,0,2.5,140,0,0,N/A,0,N/A,0,N/A
2011-06-29-02,1007.8,1008.5,25,23.5,91,0.4,170,2,160,0,0,N/A,0,15,0,10
2011-06-29-03,1007.8,1008.5,24.9,23.3,91,0.3,210,2.4,160,0,0,N/A,0,N/A,0,N/A
2011-06-29-04,1007.9,1008.6,24.9,23.4,91,0.7,210,2.4,220,0,0,N/A,0,N/A,0,N/A
2011-06-29-05,1008.1,1008.8,24.8,22.8,89,1.8,150,3.8,160,0,0,N/A,0,15,0,10
2011-06-29-06,1008.6,1009.3,25.1,23.4,90,0,0,3.4,150,0,0,0,0,N/A,0,N/A
2011-06-29-07,1008.8,1009.5,25.7,23.6,88,0.2,0,2.6,190,0,0,0,0.14,N/A,0,N/A
2011-06-29-08,1008.9,1009.6,26.8,24.4,87,0,0,2,230,0,0,0,0.6,30,1,9
2011-06-29-09,1009.2,1009.9,28.5,25.8,85,1.1,230,2.6,220,0,0,0,1.05,20,3,9
2011-06-29-10,1009.1,1009.8,29.6,25.3,78,0.2,0,2.3,180,0,0,0.1,1.43,N/A,4,9
2011-06-29-11,1009.1,1009.8,31,25.5,73,0.3,230,2.3,290,0,0,0.1,1.73,13,5,9
2011-06-29-12,1008.7,1009.4,31,25.6,73,0.2,0,2.4,270,0,0,0.2,1.61,N/A,5,8
2011-06-29-13,1008.2,1008.9,31.8,24.9,67,1.1,90,3.4,40,0,0,0.4,1.75,N/A,6,9
2011-06-29-14,1008.4,1009.1,27.1,22.9,78,1.4,340,8.2,40,8,0.6,0,0.2,7,1,9
2011-06-29-15,1009.2,1009.9,25.6,23.4,88,2,220,4.7,360,8,1,0,0,N/A,0,10
2011-06-29-16,1009.1,1009.8,25.1,22.9,88,0.5,180,5.8,190,5.5,1,0,0,N/A,0,10
2011-06-29-17,1009.1,1009.8,25,22.9,88,0.8,170,4.3,170,3.5,1,0,0,7,0,10
2011-06-29-18,1009.2,1009.9,25.3,23.7,91,0.7,140,2,130,T,0.2,0,0,N/A,0,N/A
2011-06-29-19,1009.4,1010.1,25.3,23.8,91,0.5,120,2.9,120,0,0,0,0,N/A,0,N/A
2011-06-29-20,1010,1010.7,25.7,23.9,90,0.8,230,1.8,270,0,0,N/A,0,12,0,9
2011-06-29-21,1010.5,1011.2,25.7,23.8,89,1.1,210,2.4,190,0,0,N/A,0,12,0,8
2011-06-29-22,1011,1011.7,25.4,23.3,88,2,170,3.5,160,0,0,N/A,0,N/A,0,N/A
2011-06-29-23,1010.8,1011.5,25.2,23,88,2.3,170,3.9,180,0,0,N/A,0,12,0,8
2011-06-29-24,1010.5,1011.2,25,23.1,89,0.8,180,3,170,0,0,N/A,0,N/A,0,N/A
2011-06-30-01,1009.8,1010.5,25,23.3,90,0.3,200,2,160,0,0,N/A,0,N/A,0,N/A
2011-06-30-02,1009.4,1010.1,24.7,23,90,0,0,2.2,170,0,0,N/A,0,14,0,3
2011-06-30-03,1009.6,1010.3,24.6,22.5,88,2.5,170,3.9,170,0,0,N/A,0,N/A,0,N/A
2011-06-30-04,1009.6,1010.3,24.4,22.1,87,1.2,180,3.7,160,0,0,N/A,0,N/A,0,N/A
2011-06-30-05,1009.7,1010.5,24,22,89,0.5,190,2.5,160,0,0,N/A,0,18,0,4
2011-06-30-06,1009.8,1010.5,24.4,22.9,91,0.8,190,2.5,180,0,0,0,0.03,N/A,0,N/A
2011-06-30-07,1010.1,1010.8,26.2,24.6,91,1.4,180,3.5,180,0,0,0.6,0.65,N/A,0,N/A
2011-06-30-08,1010.3,1011,27.7,25.2,86,1.1,180,2.9,190,0,0,0.7,1.28,20,2,6
2011-06-30-09,1010.3,1011,30.3,26.1,78,0.3,120,1.6,190,0,0,1,1.87,20,4,6
2011-06-30-10,1010.4,1011.1,31.4,25.7,72,1.2,260,3.5,270,0,0,1,2.45,N/A,6,6
2011-06-30-11,1010,1010.7,32.3,25.3,67,0.5,320,4.1,30,0,0,1,2.85,15,7,6
2011-06-30-12,1009.4,1010.1,34,26.1,64,0.7,320,4.6,360,0,0,1,2.79,N/A,8,6
2011-06-30-13,1009.2,1009.9,32.5,25.4,66,1.8,330,6.6,350,0,0,0.4,1.81,N/A,5,8
2011-06-30-14,1008.9,1009.6,32.6,25.4,66,1.5,340,6.1,330,0,0,0.5,1.85,13,5,8
2011-06-30-15,1008.8,1009.5,31.2,23.8,65,1.6,360,5.8,360,0,0,0.2,1.11,N/A,2,9
2011-06-30-16,1008.6,1009.3,30.6,22.8,63,2.2,70,6.4,80,0,0,0,0.36,N/A,1,9
2011-06-30-17,1008.7,1009.4,30.1,23,66,0.8,30,5.7,80,0,0,0,0,12,0,10
2011-06-30-18,1008.8,1009.5,29.5,23.5,70,0.6,80,3.1,270,0,0,0,0,N/A,0,N/A
2011-06-30-19,1009.4,1010.1,28.3,23.9,77,2.1,240,4.7,210,0,0,0,0,N/A,0,N/A
2011-06-30-20,1009.9,1010.6,28.4,23.9,77,1.2,220,2.9,220,0,0,N/A,0,12,0,10
2011-06-30-21,1010.5,1011.2,28,23.7,78,2,230,3.7,230,0,0,N/A,0,10,0,10
2011-06-30-22,1010.9,1011.6,27.9,23.5,77,0.7,220,3.5,230,0,0,N/A,0,N/A,0,N/A
2011-06-30-23,1010.5,1011.2,27.8,23.5,77,0.3,230,3.1,280,0,0,N/A,0,10,0,10
2011-06-30-24,1010.4,1011.1,27.6,23.4,78,1.1,220,2,200,0,0,N/A,0,N/A,0,N/A
2012-06-01-01,1009.4,1010.2,23.8,18.7,73,2.9,100,8.9,80,0,0,N/A,0,N/A,0,N/A
2012-06-01-02,1009,1009.8,23.8,18.7,73,3.6,90,7.8,80,0,0,N/A,0,14,0,10
2012-06-01-03,1008.9,1009.7,23.6,18.8,74,3,100,8,80,0,0,N/A,0,N/A,0,N/A
2012-06-01-04,1008.9,1009.7,23.5,19,76,2.3,110,7.3,80,0,0,N/A,0,N/A,0,N/A
2012-06-01-05,1009,1009.8,23.6,18.9,75,3.2,110,8.6,80,0,0,N/A,0,18,0,9
2012-06-01-06,1009.2,1010,23.4,19.1,77,3.6,110,7.3,90,0,0,0,0,N/A,0,N/A
2012-06-01-07,1009.7,1010.5,23.9,19.4,76,3.1,90,7.7,100,0,0,0.1,0.45,N/A,0,N/A
2012-06-01-08,1009.6,1010.3,24.4,19.1,72,3.9,80,8.4,80,0,0,0,0.51,15,1,10
2012-06-01-09,1009.7,1010.4,24.4,19.4,74,4,90,11.2,70,0,0,0,0.6,18,1,10
2012-06-01-10,1009.3,1010,25.1,19.7,72,4.7,90,10.6,70,0,0,0,0.65,N/A,3,10
2012-06-01-11,1008.9,1009.6,26.5,20.7,71,4.7,80,11.7,80,0,0,0.1,1.61,18,6,10
2012-06-01-12,1008.1,1008.8,26.3,20.5,70,5.3,90,11.3,70,0,0,0.2,1.78,N/A,7,10
2012-06-01-13,1007.5,1008.2,25.7,20.2,72,5.4,90,10.6,90,0,0,0,1.11,N/A,5,10
2012-06-01-14,1006.8,1007.5,25.7,20.6,73,4,100,10.7,70,0,0,0,0.68,12,3,10
2012-06-01-15,1006.3,1007,26.4,20.8,71,3.4,100,11.3,80,0,0,0,1.17,N/A,4,9
2012-06-01-16,1005.7,1006.4,26.1,20.6,72,4.3,90,9.8,110,0,0,0,0.73,N/A,2,9
2012-06-01-17,1005.9,1006.6,25.7,20.3,72,5.6,90,10,80,0,0,0,0.6,12,1,9
2012-06-01-18,1006.3,1007,25.3,20.2,73,4.2,80,10.4,80,0,0,0,0.24,N/A,0,N/A
2012-06-01-19,1006.6,1007.3,25.1,20.3,75,3.5,90,9.2,90,0,0,0,0,N/A,0,N/A
2012-06-01-20,1007.2,1007.9,24.8,20.3,76,4.2,90,7.5,80,0,0,N/A,0,12,0,9
2012-06-01-21,1007.6,1008.3,25,20.3,75,2.9,90,7,70,0,0,N/A,0,15,0,5
2012-06-01-22,1008,1008.7,25.1,20.4,75,1.1,90,6.3,80,0,0,N/A,0,N/A,0,N/A
2012-06-01-23,1007.7,1008.4,25,20.5,76,2,120,4.9,110,0,0,N/A,0,15,0,9
2012-06-01-24,1007,1007.7,25,20.6,77,1.8,80,5.2,80,0,0,N/A,0,N/A,0,N/A
2012-06-02-01,1006.1,1006.8,24.8,20.4,77,2,90,5.2,90,0,0,N/A,0,N/A,0,N/A
2012-06-02-02,1005.8,1006.5,24.8,20.6,78,1.4,120,4.3,80,0,0,N/A,0,15,0,10
2012-06-02-03,1005.7,1006.4,24.8,20.5,77,1.1,120,2.7,110,0,0,N/A,0,N/A,0,N/A
2012-06-02-04,1005.3,1006,24.7,20.5,77,1.3,150,2.6,140,0,0,N/A,0,N/A,0,N/A
2012-06-02-05,1005.2,1005.9,24.6,20.4,77,0.6,140,2.3,120,0,0,N/A,0,15,0,10
2012-06-02-06,1005.8,1006.5,24.9,20.5,77,0.1,0,1.4,220,0,0,0,0,N/A,0,N/A
2012-06-02-07,1006.2,1006.9,25.7,21.3,77,1,110,2.3,110,0,0,0,0.42,N/A,0,N/A
2012-06-02-08,1006.3,1007,26.1,21.3,75,0.5,230,2,120,0,0,0,0.56,12,1,10
2012-06-02-09,1006.8,1007.5,25.6,21.3,77,0.1,0,2.7,360,T,0.3,0,0.03,7,0,10
2012-06-02-10,1006.6,1007.3,25,21.2,79,0.6,30,3,360,T,1,0,0,N/A,1,10
2012-06-02-11,1006.4,1007.1,24.6,21.1,81,0.3,310,2.8,360,0.3,1,0,0.16,5,1,10
2012-06-02-12,1005.6,1006.3,26.2,22.1,78,1.1,110,2.4,100,0.1,0.2,0,0.95,N/A,4,9
2012-06-02-13,1005,1005.7,26.1,21.8,77,1.6,170,3.7,150,0,0,0,0.67,N/A,3,10
2012-06-02-14,1004.6,1005.3,26.6,22,76,2.1,130,3.5,100,0,0,0,0.44,10,2,10
2012-06-02-15,1004.3,1005,27,22.1,75,2.4,120,5.1,120,0,0,0,0.73,N/A,3,8
2012-06-02-16,1003.9,1004.6,26.5,21.3,73,2.3,110,4.6,80,0,0,0,0.1,N/A,1,9
2012-06-02-17,1004.4,1005.1,25.5,21,76,2.5,80,6.7,90,T,0.2,0,0,8,0,10
2012-06-02-18,1004.5,1005.2,24.5,20.8,80,0.8,100,6.2,70,0.5,1,0,0,N/A,0,N/A
2012-06-02-19,1004.9,1005.6,24.8,20.9,79,2.2,100,4.6,70,0.2,0.7,0,0,N/A,0,N/A
2012-06-02-20,1005.5,1006.2,24.8,20.8,78,2.1,90,4.8,100,0,0,N/A,0,12,0,6
2012-06-02-21,1005.8,1006.5,25,21,78,2.3,80,4.8,80,0,0,N/A,0,12,0,9
2012-06-02-22,1005.8,1006.5,25,21.2,79,1.7,120,4.7,100,0,0,N/A,0,N/A,0,N/A
2012-06-02-23,1005.4,1006.1,25.1,21.3,79,1.4,90,4.1,120,0,0,N/A,0,14,0,9
2012-06-02-24,1004.7,1005.4,25.1,21,78,2.2,90,5.8,80,0,0,N/A,0,N/A,0,N/A
2012-06-03-01,1004.3,1005,24.9,20.9,78,2.9,90,6.8,60,0,0,N/A,0,N/A,0,N/A
2012-06-03-02,1004.2,1004.9,24.9,20.7,78,3.1,90,8.9,70,0,0,N/A,0,10,0,10
2012-06-03-03,1003.5,1004.2,24.6,20.6,78,3.6,90,8.6,90,0,0,N/A,0,N/A,0,N/A
2012-06-03-04,1003.5,1004.2,24.8,20.4,77,5.1,80,10.9,80,0,0,N/A,0,N/A,0,N/A
2012-06-03-05,1003.9,1004.6,24.7,20.2,76,5.1,90,9.4,80,T,0.4,N/A,0,6,0,10
2012-06-03-06,1004.1,1004.8,24.9,20.3,76,3.3,80,10.8,70,T,0.4,0,0,N/A,0,N/A
2012-06-03-07,1004.5,1005.2,25,20.4,76,5.1,90,12.4,80,0,0,0,0.13,N/A,0,N/A
2012-06-03-08,1004.4,1005.1,24.8,20.6,78,5.4,80,12.9,80,0,0,0,0.52,10,1,9
2012-06-03-09,1004.6,1005.3,24.7,20.4,77,3.9,80,10.4,80,T,0.5,0,0.58,5,2,10
2012-06-03-10,1004.6,1005.3,25.4,20.8,76,3.9,70,11.1,100,T,0.5,0,0.62,N/A,2,9
2012-06-03-11,1004.3,1005,26.3,21.4,74,5.3,80,12.1,70,0,0,0,1.28,12,6,9
2012-06-03-12,1004.2,1004.9,25.8,20.8,74,5.6,80,13.7,80,0,0,0,1.55,N/A,6,9
2012-06-03-13,1003.5,1004.2,26,20.9,74,5.3,80,13.9,90,0,0,0,1.24,N/A,5,9
2012-06-03-14,1003.3,1004,26,20.6,72,4.8,80,14.2,80,0,0,0,0.68,12,3,10
2012-06-03-15,1002.9,1003.6,25.8,20.6,73,4.5,90,12.2,80,0,0,0,0.53,N/A,2,10
2012-06-03-16,1002.6,1003.3,25.9,20.6,73,2.8,80,9.8,90,0,0,0,0.06,N/A,1,10
2012-06-03-17,1002.5,1003.2,25.8,20.4,72,4,80,16.4,90,0,0,0,0.05,12,0,10
2012-06-03-18,1003.1,1003.8,25.1,20.5,76,4,90,9,90,0,0,0,0,N/A,0,N/A
2012-06-03-19,1003.6,1004.3,24.7,20.4,77,4.2,90,10.4,90,0,0,0,0,N/A,0,N/A
2012-06-03-20,1004.2,1004.9,24.6,20.6,78,3.6,80,10.4,90,T,0.9,N/A,0,8,0,10
2012-06-03-21,1004.3,1005,24.9,20.7,78,3,100,6.8,80,T,0.2,N/A,0,12,0,10
2012-06-03-22,1004.7,1005.4,24.5,20.6,79,2.4,90,8.2,80,T,0.8,N/A,0,N/A,0,N/A
2012-06-03-23,1004.4,1005.1,24.4,20.8,80,3,70,6.5,90,T,1,N/A,0,6,0,10
2012-06-03-24,1003.6,1004.3,24.4,20.9,81,3.1,100,7.3,80,T,1,N/A,0,N/A,0,N/A
2012-06-04-01,1002.9,1003.6,24.4,21,81,2.7,100,7.2,90,T,1,N/A,0,N/A,0,N/A
2012-06-04-02,1002.4,1003.1,24.6,21.2,81,2.3,100,5.2,80,T,0.5,N/A,0,10,0,10
2012-06-04-03,1002.4,1003.1,24.5,21.2,82,1.9,100,6.7,80,0,0,N/A,0,N/A,0,N/A
2012-06-04-04,1002.5,1003.2,24.4,20.8,80,2.7,90,6.1,90,0,0,N/A,0,N/A,0,N/A
2012-06-04-05,1002.7,1003.4,24.3,21,82,1.9,80,4.7,80,T,0.7,N/A,0,8,0,10
2012-06-04-06,1003,1003.7,24.5,21.3,82,1.4,120,3.6,110,T,1,0,0,N/A,0,N/A
2012-06-04-07,1003.1,1003.8,24.7,21.6,83,2,90,4.5,80,0.5,1,0,0,N/A,0,N/A
2012-06-04-08,1003.2,1003.9,25.1,22,83,3.3,90,5.5,80,T,0.5,0,0.16,4,1,10
2012-06-04-09,1003.4,1004.1,25.3,22.1,82,1.4,110,5.2,80,T,0.9,0,0.57,4,2,10
2012-06-04-10,1003.1,1003.8,26.1,22.8,82,1.3,140,3.3,130,T,1,0,0.96,N/A,4,10
2012-06-04-11,1002.9,1003.6,25.4,22.3,83,0.6,130,3.4,100,1.5,1,0,0.35,4,2,10
2012-06-04-12,1002.3,1003,25.8,22.7,83,0.8,140,3,140,3,1,0,0.32,N/A,2,10
2012-06-04-13,1002.1,1002.8,25.6,22.4,83,0.3,140,2.8,150,2.5,1,0,0.46,N/A,2,10
2012-06-04-14,1001.4,1002.1,25.8,22.5,82,1.1,220,2.5,290,0.5,1,0,0.25,5,1,10
2012-06-04-15,1001,1001.7,25.8,22.7,83,1.2,160,2.6,220,6.5,1,0,0.28,N/A,1,10
2012-06-04-16,1000.9,1001.6,26.4,23.3,83,1.1,220,2.3,270,T,0.8,0,0.29,N/A,1,9
2012-06-04-17,1001,1001.7,26.2,22.7,81,1.1,230,2.7,240,T,0.7,0,0.22,10,0,10
2012-06-04-18,1001.5,1002.2,26.2,22.8,82,1,200,2.3,230,0.5,0.2,0,0,N/A,0,N/A
2012-06-04-19,1002.1,1002.8,26,22.5,81,1.4,220,2.7,230,0,0,0,0,N/A,0,N/A
2012-06-04-20,1002.5,1003.2,25.7,22.2,81,0.7,200,2.3,220,0,0,N/A,0,10,0,10
2012-06-04-21,1002.9,1003.6,25.5,22.2,82,1.2,220,2.3,200,0,0,N/A,0,10,0,10
2012-06-04-22,1003.1,1003.8,25.6,21.9,80,1.1,250,2.5,290,0,0,N/A,0,N/A,0,N/A
